epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2050.12,0.83004,0.72322,1.01963,0.68461,0.63569,0.66005,0.5143,0.80045,0.78931,0.96298,0.0003095,0.0003095,0.0003095
78,2076.62,0.82848,0.72659,1.01856,0.68862,0.62595,0.65745,0.51572,0.78521,0.77631,0.95694,0.000297125,0.000297125,0.000297125
79,2103.13,0.82429,0.71857,1.01697,0.7575,0.59899,0.6605,0.51913,0.78605,0.77447,0.95848,0.00028475,0.00028475,0.00028475
80,2129.95,0.81269,0.70329,1.01115,0.7276,0.60528,0.66172,0.51714,0.78036,0.76251,0.95353,0.000272375,0.000272375,0.000272375
81,2156.59,0.82465,0.69803,1.01268,0.69438,0.61447,0.65905,0.51886,0.77747,0.76058,0.95523,0.00026,0.00026,0.00026
82,2183.22,0.81791,0.70536,1.01294,0.69032,0.63523,0.6569,0.52011,0.78183,0.76643,0.95304,0.000247625,0.000247625,0.000247625
83,2209.92,0.81257,0.69972,1.01312,0.69503,0.64738,0.67057,0.52793,0.78115,0.75028,0.954,0.00023525,0.00023525,0.00023525
84,2236.65,0.80578,0.69251,1.00902,0.71168,0.61173,0.6597,0.51966,0.78269,0.75825,0.95413,0.000222875,0.000222875,0.000222875
85,2263.18,0.7981,0.67762,1.00939,0.6925,0.62268,0.66116,0.52237,0.77904,0.75298,0.95376,0.0002105,0.0002105,0.0002105
86,2289.29,0.80009,0.6781,1.00589,0.74527,0.60127,0.66322,0.52246,0.78579,0.75823,0.95898,0.000198125,0.000198125,0.000198125
87,2315.89,0.7943,0.67607,1.00808,0.68014,0.64007,0.65714,0.52222,0.78157,0.76136,0.95418,0.00018575,0.00018575,0.00018575
88,2342.58,0.79374,0.67383,1.00246,0.66906,0.64007,0.65854,0.52269,0.77388,0.76531,0.94983,0.000173375,0.000173375,0.000173375
89,2369,0.79368,0.67573,1.00706,0.71665,0.61007,0.65715,0.52275,0.77449,0.75738,0.95164,0.000161,0.000161,0.000161
90,2395.31,0.78292,0.66477,0.99781,0.71612,0.61599,0.66375,0.52719,0.77781,0.75039,0.95169,0.000148625,0.000148625,0.000148625
91,2421.96,0.69357,0.55633,0.93826,0.72175,0.61848,0.66751,0.52514,0.77323,0.73968,0.95024,0.00013625,0.00013625,0.00013625
92,2448.42,0.67913,0.53662,0.93167,0.74042,0.61018,0.67026,0.53124,0.77094,0.74289,0.94967,0.000123875,0.000123875,0.000123875
93,2474.9,0.68063,0.53692,0.93242,0.72812,0.61349,0.66504,0.52932,0.7676,0.7574,0.94978,0.0001115,0.0001115,0.0001115
94,2500.96,0.67014,0.52842,0.92778,0.74065,0.61069,0.67074,0.53273,0.76738,0.74269,0.94916,9.9125e-05,9.9125e-05,9.9125e-05
95,2527.45,0.6638,0.52714,0.92447,0.7476,0.60716,0.66889,0.53046,0.76614,0.74784,0.94918,8.675e-05,8.675e-05,8.675e-05
96,2553.44,0.66641,0.52319,0.92832,0.74965,0.59461,0.66665,0.53156,0.76186,0.75125,0.94746,7.4375e-05,7.4375e-05,7.4375e-05
97,2579.27,0.66422,0.51597,0.9219,0.74145,0.60314,0.6657,0.53099,0.76126,0.75212,0.94803,6.2e-05,6.2e-05,6.2e-05
98,2605.13,0.65503,0.5127,0.92383,0.745,0.61078,0.66548,0.5293,0.7597,0.75191,0.94792,4.9625e-05,4.9625e-05,4.9625e-05
99,2630.93,0.64677,0.51501,0.91783,0.74212,0.60375,0.66303,0.52891,0.76043,0.74928,0.94705,3.725e-05,3.725e-05,3.725e-05
100,2656.85,0.66042,0.51364,0.9274,0.73795,0.6071,0.66428,0.52972,0.75868,0.74945,0.9459,2.4875e-05,2.4875e-05,2.4875e-05
